date,spot_price,front_price,basis,tau,tau_days,tau_bin,basis_var_21d,basis_vol_21d,structure,year,month_number,month_short,period_label
2020-01-02,61.17,61.18000030517578,0.010000305175779545,0.07936507936507936,20,15-21d,,,Contango,2020,1,Jan,2020-01
2020-01-03,63.0,63.04999923706055,0.049999237060546875,0.07539682539682539,19,15-21d,,,Contango,2020,1,Jan,2020-01
2020-01-06,63.27,63.27000045776367,4.5776366874861196e-07,0.06349206349206349,16,15-21d,,,Contango,2020,1,Jan,2020-01
2020-01-07,62.7,62.70000076293945,7.629394502828291e-07,0.05952380952380952,15,15-21d,,,Contango,2020,1,Jan,2020-01
2020-01-08,59.65,59.61000061035156,-0.03999938964843608,0.05555555555555555,14,8-14d,,,Backwardation,2020,1,Jan,2020-01
2020-01-09,59.56,59.560001373291016,1.3732910133512632e-06,0.051587301587301584,13,8-14d,,,Contango,2020,1,Jan,2020-01
2020-01-10,59.02,59.040000915527344,0.020000915527340624,0.047619047619047616,12,8-14d,,,Contango,2020,1,Jan,2020-01
2020-01-13,58.17,58.08000183105469,-0.0899981689453142,0.03571428571428571,9,8-14d,,,Backwardation,2020,1,Jan,2020-01
2020-01-14,58.34,58.22999954223633,-0.11000045776367529,0.031746031746031744,8,8-14d,,,Backwardation,2020,1,Jan,2020-01
2020-01-15,57.86,57.810001373291016,-0.04999862670898381,0.027777777777777776,7,0-7d,0.002543313395838362,0.05043127398587469,Backwardation,2020,1,Jan,2020-01
2020-01-16,58.52,58.52000045776367,4.5776366874861196e-07,0.023809523809523808,6,0-7d,0.0023290722662185053,0.048260462764239065,Contango,2020,1,Jan,2020-01
2020-01-17,58.55,58.540000915527344,-0.009999084472653408,0.01984126984126984,5,0-7d,0.002124225917553613,0.04608932541873023,Backwardation,2020,1,Jan,2020-01
2020-01-21,58.25,58.34000015258789,0.09000015258789062,0.003968253968253968,1,0-7d,0.0028499766037101207,0.053385172133375396,Contango,2020,1,Jan,2020-01
2020-01-22,56.76,56.7400016784668,-0.019998321533201135,0.0,0,,0.0026378889655393942,0.051360383230067454,Backwardation,2020,1,Jan,2020-01
2020-01-23,55.51,55.59000015258789,0.08000015258789261,0.1111111111111111,28,22-30d,0.0029980673077856087,0.05475460992268696,Contango,2020,1,Jan,2020-01
2020-01-24,54.09,54.189998626708984,0.09999862670898096,0.10714285714285714,27,22-30d,0.003482864113614506,0.059015795458627056,Contango,2020,1,Jan,2020-01
2020-01-27,53.09,53.13999938964844,0.04999938964843409,0.09523809523809523,24,22-30d,0.0034014148944439336,0.05832165030624505,Contango,2020,1,Jan,2020-01
2020-01-28,53.33,53.47999954223633,0.14999954223632983,0.09126984126984126,23,22-30d,0.004374115808814618,0.0661370985817689,Contango,2020,1,Jan,2020-01
2020-01-29,53.29,53.33000183105469,0.04000183105468835,0.0873015873015873,22,22-30d,0.004170116055096764,0.06457643575714568,Contango,2020,1,Jan,2020-01
2020-01-30,52.19,52.13999938964844,-0.050000610351560226,0.08333333333333333,21,15-21d,0.0041567928603958425,0.06447319489831292,Backwardation,2020,1,Jan,2020-01
2020-01-31,51.58,51.560001373291016,-0.01999862670898267,0.07936507936507936,20,15-21d,0.00399471232909556,0.06320373667035487,Backwardation,2020,1,Jan,2020-01
2020-02-03,50.06,50.11000061035156,0.050000610351560226,0.06746031746031746,17,15-21d,0.0040728080758164285,0.06381855588946234,Contango,2020,2,Feb,2020-02
2020-02-04,49.59,49.61000061035156,0.02000061035155909,0.06349206349206349,16,15-21d,0.003999956055470927,0.06324520579040697,Contango,2020,2,Feb,2020-02
2020-02-05,50.87,50.75,-0.11999999999999744,0.05952380952380952,15,15-21d,0.004805677164058011,0.06932299159772326,Backwardation,2020,2,Feb,2020-02
2020-02-06,50.94,50.95000076293945,0.010000762939455399,0.05555555555555555,14,8-14d,0.004806153587049083,0.06932642776783672,Contango,2020,2,Feb,2020-02
2020-02-07,50.34,50.31999969482422,-0.02000030517578466,0.051587301587301584,13,8-14d,0.004735679910672654,0.06881627649526421,Backwardation,2020,2,Feb,2020-02
2020-02-10,49.59,49.56999969482422,-0.02000030517578466,0.03968253968253968,10,8-14d,0.0047661584844117455,0.06903737020202715,Backwardation,2020,2,Feb,2020-02
2020-02-11,50.0,49.939998626708984,-0.060001373291015625,0.03571428571428571,9,8-14d,0.004949025509284376,0.07034931065251725,Backwardation,2020,2,Feb,2020-02
2020-02-12,51.13,51.16999816894531,0.03999816894530994,0.031746031746031744,8,8-14d,0.004571414359982338,0.06761223528313746,Contango,2020,2,Feb,2020-02
2020-02-13,51.41,51.41999816894531,0.00999816894531591,0.027777777777777776,7,0-7d,0.003851407777074368,0.062059711384072416,Contango,2020,2,Feb,2020-02
2020-02-14,52.03,52.04999923706055,0.019999237060545738,0.023809523809523808,6,0-7d,0.003644749502678049,0.06037176080485022,Contango,2020,2,Feb,2020-02
2020-02-18,52.1,52.04999923706055,-0.050000762939454546,0.007936507936507936,2,0-7d,0.003844754785135261,0.06200608667812589,Backwardation,2020,2,Feb,2020-02
