date,price,year,month_number,month_short,period_label,series,sort_order
2020-01-02,61.17,2020,1,Jan,2020-01,Spot,1
2020-01-02,61.18000030517578,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-03,63.0,2020,1,Jan,2020-01,Spot,1
2020-01-03,63.04999923706055,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-06,63.27,2020,1,Jan,2020-01,Spot,1
2020-01-06,63.27000045776367,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-07,62.7,2020,1,Jan,2020-01,Spot,1
2020-01-07,62.70000076293945,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-08,59.65,2020,1,Jan,2020-01,Spot,1
2020-01-08,59.61000061035156,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-09,59.56,2020,1,Jan,2020-01,Spot,1
2020-01-09,59.560001373291016,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-10,59.02,2020,1,Jan,2020-01,Spot,1
2020-01-10,59.040000915527344,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-13,58.17,2020,1,Jan,2020-01,Spot,1
2020-01-13,58.08000183105469,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-14,58.34,2020,1,Jan,2020-01,Spot,1
2020-01-14,58.22999954223633,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-15,57.86,2020,1,Jan,2020-01,Spot,1
2020-01-15,57.810001373291016,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-16,58.52,2020,1,Jan,2020-01,Spot,1
2020-01-16,58.52000045776367,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-17,58.55,2020,1,Jan,2020-01,Spot,1
2020-01-17,58.540000915527344,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-21,58.25,2020,1,Jan,2020-01,Spot,1
2020-01-21,58.34000015258789,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-22,56.76,2020,1,Jan,2020-01,Spot,1
2020-01-22,56.7400016784668,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-23,55.51,2020,1,Jan,2020-01,Spot,1
2020-01-23,55.59000015258789,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-24,54.09,2020,1,Jan,2020-01,Spot,1
2020-01-24,54.189998626708984,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-27,53.09,2020,1,Jan,2020-01,Spot,1
2020-01-27,53.13999938964844,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-28,53.33,2020,1,Jan,2020-01,Spot,1
2020-01-28,53.47999954223633,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-29,53.29,2020,1,Jan,2020-01,Spot,1
2020-01-29,53.33000183105469,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-30,52.19,2020,1,Jan,2020-01,Spot,1
2020-01-30,52.13999938964844,2020,1,Jan,2020-01,Front-Month Futures,2
2020-01-31,51.58,2020,1,Jan,2020-01,Spot,1
2020-01-31,51.560001373291016,2020,1,Jan,2020-01,Front-Month Futures,2
2020-02-03,50.06,2020,2,Feb,2020-02,Spot,1
2020-02-03,50.11000061035156,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-04,49.59,2020,2,Feb,2020-02,Spot,1
2020-02-04,49.61000061035156,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-05,50.87,2020,2,Feb,2020-02,Spot,1
2020-02-05,50.75,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-06,50.94,2020,2,Feb,2020-02,Spot,1
2020-02-06,50.95000076293945,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-07,50.34,2020,2,Feb,2020-02,Spot,1
2020-02-07,50.31999969482422,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-10,49.59,2020,2,Feb,2020-02,Spot,1
2020-02-10,49.56999969482422,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-11,50.0,2020,2,Feb,2020-02,Spot,1
2020-02-11,49.939998626708984,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-12,51.13,2020,2,Feb,2020-02,Spot,1
2020-02-12,51.16999816894531,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-13,51.41,2020,2,Feb,2020-02,Spot,1
2020-02-13,51.41999816894531,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-14,52.03,2020,2,Feb,2020-02,Spot,1
2020-02-14,52.04999923706055,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-18,52.1,2020,2,Feb,2020-02,Spot,1
2020-02-18,52.04999923706055,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-19,53.31,2020,2,Feb,2020-02,Spot,1
2020-02-19,53.290000915527344,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-20,53.77,2020,2,Feb,2020-02,Spot,1
2020-02-20,53.779998779296875,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-21,53.36,2020,2,Feb,2020-02,Spot,1
2020-02-21,53.380001068115234,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-24,51.36,2020,2,Feb,2020-02,Spot,1
2020-02-24,51.43000030517578,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-25,49.78,2020,2,Feb,2020-02,Spot,1
2020-02-25,49.900001525878906,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-26,48.67,2020,2,Feb,2020-02,Spot,1
2020-02-26,48.72999954223633,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-27,47.17,2020,2,Feb,2020-02,Spot,1
2020-02-27,47.09000015258789,2020,2,Feb,2020-02,Front-Month Futures,2
2020-02-28,44.83,2020,2,Feb,2020-02,Spot,1
2020-02-28,44.7599983215332,2020,2,Feb,2020-02,Front-Month Futures,2
2020-03-02,46.78,2020,3,Mar,2020-03,Spot,1
2020-03-02,46.75,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-03,47.27,2020,3,Mar,2020-03,Spot,1
2020-03-03,47.18000030517578,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-04,46.78,2020,3,Mar,2020-03,Spot,1
2020-03-04,46.779998779296875,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-05,45.9,2020,3,Mar,2020-03,Spot,1
2020-03-05,45.900001525878906,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-06,41.14,2020,3,Mar,2020-03,Spot,1
2020-03-06,41.279998779296875,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-09,31.05,2020,3,Mar,2020-03,Spot,1
2020-03-09,31.1299991607666,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-10,34.47,2020,3,Mar,2020-03,Spot,1
2020-03-10,34.36000061035156,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-11,33.13,2020,3,Mar,2020-03,Spot,1
2020-03-11,32.97999954223633,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-12,31.56,2020,3,Mar,2020-03,Spot,1
2020-03-12,31.5,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-13,31.72,2020,3,Mar,2020-03,Spot,1
2020-03-13,31.729999542236328,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-16,28.96,2020,3,Mar,2020-03,Spot,1
2020-03-16,28.700000762939453,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-17,26.96,2020,3,Mar,2020-03,Spot,1
2020-03-17,26.950000762939453,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-18,20.48,2020,3,Mar,2020-03,Spot,1
2020-03-18,20.3700008392334,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-19,25.09,2020,3,Mar,2020-03,Spot,1
2020-03-19,25.219999313354492,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-20,19.48,2020,3,Mar,2020-03,Spot,1
2020-03-20,22.43000030517578,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-23,23.33,2020,3,Mar,2020-03,Spot,1
2020-03-23,23.360000610351562,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-24,21.03,2020,3,Mar,2020-03,Spot,1
2020-03-24,24.010000228881836,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-25,20.75,2020,3,Mar,2020-03,Spot,1
2020-03-25,24.489999771118164,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-26,16.6,2020,3,Mar,2020-03,Spot,1
2020-03-26,22.600000381469727,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-27,15.48,2020,3,Mar,2020-03,Spot,1
2020-03-27,21.510000228881836,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-30,14.1,2020,3,Mar,2020-03,Spot,1
2020-03-30,20.09000015258789,2020,3,Mar,2020-03,Front-Month Futures,2
2020-03-31,20.51,2020,3,Mar,2020-03,Spot,1
2020-03-31,20.479999542236328,2020,3,Mar,2020-03,Front-Month Futures,2
2020-04-01,20.28,2020,4,Apr,2020-04,Spot,1
2020-04-01,20.309999465942383,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-02,25.18,2020,4,Apr,2020-04,Spot,1
2020-04-02,25.31999969482422,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-03,28.36,2020,4,Apr,2020-04,Spot,1
2020-04-03,28.34000015258789,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-06,26.21,2020,4,Apr,2020-04,Spot,1
2020-04-06,26.079999923706055,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-07,23.54,2020,4,Apr,2020-04,Spot,1
2020-04-07,23.6299991607666,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-08,24.97,2020,4,Apr,2020-04,Spot,1
2020-04-08,25.09000015258789,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-09,22.9,2020,4,Apr,2020-04,Spot,1
2020-04-09,22.760000228881836,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-13,22.36,2020,4,Apr,2020-04,Spot,1
2020-04-13,22.40999984741211,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-14,20.15,2020,4,Apr,2020-04,Spot,1
2020-04-14,20.110000610351562,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-15,19.96,2020,4,Apr,2020-04,Spot,1
2020-04-15,19.8700008392334,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-16,19.82,2020,4,Apr,2020-04,Spot,1
2020-04-16,19.8700008392334,2020,4,Apr,2020-04,Front-Month Futures,2
2020-04-17,18.31,2020,4,Apr,2020-04,Spot,1
